Accession #,Panel #,Title,Description,"PUBLICATION
Info as of April 15, 2025",page number
1086,1,"Олеся Сохацька
Olesia Sohatsky",Graduation Photo,Publlication Unknown,
1127,1,"Проф. Д. Дорошенко
Professor D. Doroshenko",1945,Publlication Unknown,
1150,1,Cross Motif,Motif used as graphic filler for black spaces on a page,"Мистецькі скарби українських вишивок - С. Сечишин (1950)
Art Treasures of Ukrainian Embroidery by S. Stechishin ",86
1168,1,Trees,Illustration  by Stepan Rozhoka,"Далеке зблизька - Марія Струтинська/В. Марска/Степан Рожока     
The Distant at Hand - Maria StrutynskaW. Marska/Stepan Rozhoka",
1170,1,Illustration of a Plant,Illustration  by Stepan Rozhoka,"Далеке зблизька - Марія Струтинська/В. Марска/Степан Рожока     
The Distant at Hand - Maria StrutynskaW. Marska/Stepan Rozhoka",
1196,1,"Пані  Щербак-Михалюк
Ms. Scherbak-Myhaliuk",,Publlication Unknown,
1201,1,"Пані Теклія Жук
Ms. Teklia Zuk",,Publlication Unknown,
1219,1,Ukrainian Dancers  ,"Performing on stage in Thunder Bay, ON",25th anniversary concert program c. 1958,
1227,1,"Пана Сворик
Miss Sworyk",,"25th anniversary concert program
1968",
1230,1,Ms. Gonta,,"25th anniversary concert program
1968",
1243,1,Tarnowesky/Tarnovetska,,"25th anniversary concert program
1968",
1245,1,Miss Henyk,,"25th anniversary concert program
1968",
1246,1,Ms. Gayowsky,,"25th anniversary concert program
1968",
1268,1,UWAC - Group Photo ,"Melville, Saskatchewan c.1952",Twenty Five Years of UWAC 1926-1951,418
1269,1,UWAC - Group Photo ,"Donwell, Saskatchewan с 1951",Twenty Five Years of UWAC 1926-1951,502
1287,1,UWAC - Group Photo,"Yellow Creek, Saskatchewan c.1951",Twenty Five Years of UWAC 1926-1951,461
1333,1,"Ефрозина Козак
Efrozenia Kozak","From St. Catharines, ON  c. 1963
Donated $1,170 to the Ukrainian Canadian Congress",Publlication Unknown,
1352,1,Mr. John Ilkiw,"Donated $1,000 to the Ukrainian Canadian Congress 
c. 1963",Publlication Unknown,
1354,1, Ф. Татчин F. Tatchyn," From Edmonton
Donated $1000.00 ",Publlication Unknown,
1359,1,Portrait of a Couple,Donated to the Shevchenko Foundation. ,Publlication Unknown,
1361,1,Steven & Mary Nychka,"From Edmonton, AB 
Donated $1000.00 to Shevchenko Foundation (Founders)
c.1963",Publlication Unknown,
1374,1,"Проф. Ф. Басса
Professor F. Bassa",,Publlication Unknown,
1427,1,Mohyla Graduation Photos,"Graduating class of 1929-1930 Peter Mohyla Ukrainian Institute in Saskatoon, Saskatchewan.",Publlication Unknown,
1446,1,Mohyla Graduation Photos,"Graduating class of 1966-1967 Peter Mohyla Ukrainian Institute in Saskatoon, Saskatchewan.",Publlication Unknown,
1469,1,Boyan Society Portraits c.1918,"Members of the Boyan Society in Winnipeg, MB
1918 ",Publlication Unknown,
1507,1,"Орися Пелех
Orisya Pelekh",,Publlication Unknown,
1538,1,"А. Білиньский
A. Bilynskyi",,Publlication Unknown,
1765,1,"Пана Мартинюк
Miss Martiniuk",,Publlication Unknown,
1766,1,Portrait of a Young Woman,Unidentified,Publlication Unknown,
1768,1,Portrait of a Young Woman,Unidentified,Publlication Unknown,
1769,1,"Пана Марчишин
Miss Marchyshyn",,Publlication Unknown,
1770,1,Portrait of a Young Woman,Unidentified,Publlication Unknown,
1776,1,"Пана Заяковська
Miss Zaykowsky",,Publlication Unknown,
1777,1,"Пана Боднарчук
Miss Bodnarchuk",,Publlication Unknown,
1778,1,"Пана Хохоляк
Miss Hoholiak",,Publlication Unknown,
1780,1,Portrait of a Young Woman,Unidentified,Publlication Unknown,
1782,1,Portrait of a Young Woman,Unidentified,Publlication Unknown,
1785,1,Portrait of a Young Woman,Unidentified,Publlication Unknown,
1789,1,"""Katharine""","""Katharine"", based on a poem of T. Shevchenko, mus. M. Arkas, choreogr. and danced by Lesia Biloshytsky. ",Promin Sept/Oct 1962,3
1811,1,"Клюб Українських Профксіоналніки і підприємці у келґарі
Ukrainian Professional & Business Club in Calgary",,Publlication Unknown,
1826,1,Group Photo,"Metropolitan Andrew and Executive
St John's Cathedral in Edmonton, AB.",Publlication Unknown,
1833,1,Portrait of a Young Woman,Unidentified,Publlication Unknown,
1849,1,Group Photo,Unidentified,Publlication Unknown,
1866,1,Congregation Group Photo,"Українська Церковна Громада Різдва, 
Пресвятої Діви Марії в Ошаві, Онт
Blessed Virgin Mary Ukrainian Orthodox Church
Oshawa, ON  ",Publlication Unknown,
1879,1,Ukrainian Catholic Church,Unidentified,Publlication Unknown,
1948,1,Myroslava Vovk-Horneha,,Publlication Unknown,
2094,1,Group Photo,,"20th anniversary of the UCC, 1942 to 1962.",
2113,1,"Guest Speaker 
Lesia Ukrainka Event",Unidentified Location,Publlication Unknown,
2130,1,Graduation Photos ,"Peter Mohyla Ukrainian Institute
Saskatoon 1923-1924",Publlication Unknown,
2178,1,"Орест і Оля Барські
Orest & Olia Barsky","Ватерфорд, CK
Battleford, SK",Publlication Unknown,
2244,1,Embroidery Pattern,Fig. 177,Ukrainian Embroidery Designs and Stitches  (1957),119
2249,1,Rose Gowda, Modelling a Marquisette Blouse,Ukrainian Embroidery Designs and Stitches  (1957),120
2262,1,Embroidery Pattern,Fig. 187,Ukrainian Embroidery Designs and Stitches  (1957),121
2267,1,Embroidered Table Runner,"Fig. 113
1957",Ukrainian Embroidery Designs and Stitches  (1957),76
2268,1,Embroidery Pattern,Figure 162,"Мистецькі скарби українських вишивок - С. Сечишин (1950)
Art Treasures of Ukrainian Embroidery by S. Stechishin 
Ukrainian Embroidery Designs and Stitches  (1957)",86;105
2271,1,Ukrainian Banners & Vestments,Fig. 157A,Ukrainian Embroidery Designs and Stitches  (1957),100
2284,1,Embroidery Sample,Fig. 184,Ukrainian Embroidery Designs and Stitches  (1957),120
2350,1,Group Photo,Unidentified,Publlication Unknown,
2515,1,Grouping of Portraits,Unidentified,Publlication Unknown,
2577,1,Group Photo,Unidentified,Publlication Unknown,
2578,1,Group Photo,Unidentified,Publlication Unknown,
2593,1,Book Display,Unidentified,Publlication Unknown,
2604,1,Group Photo,Unidentified,Publlication Unknown,
2634,1,Group Photo ,Unidentified,Publlication Unknown,
2638,1,Group Photo,Unidentified,Publlication Unknown,
2676,1,Two Women Speaking,Unidentified,Publlication Unknown,
2719,1,Group Photo,Unidentified,Publlication Unknown,
2727,1,Group Photo,Unidentified,Publlication Unknown,
2745,1,Group Photo,Unidentified,Publlication Unknown,
2756,1,Group Photo,Unidentified,Publlication Unknown,
2761,1,Father & Son,Unidentified,Publlication Unknown,
2836,1,Group Photo,Unidentified,Publlication Unknown,
2847,1,Group Photo,Unidentified,Publlication Unknown,
2848,1,Three Women,Unidentified,Publlication Unknown,
2891,1,Group Photo,Unidentified,Publlication Unknown,
2920,1,Childrens Play,Unidentified,Publlication Unknown,
3043,1,Hanya Kowcz and Luba Smytaniuk,"Bukovynian wedding outfit modeled by Hanya Kowcz and Bukovynian dress modeled by Luba Smytaniuk. 
c. 1971",Promin May 1971,cover
3048,1,Embroidery Pattern,"Embroidery pattern known as ""Hetman Polubytok"". 
Drawn by Ivanna Wachna
Submitted by L. Bryzhun from Toronto.",Promin June 1971,32
3054,1,Ukrainian Folk Art Exhibit,Display in Ottawa. Date unknown.,Promin November 1969,25
3058,1,17th Century Outfits,"Odarka Fastryga and Ostap Panchyshyn 
Modeling 17th century reproduction clothing",Promin April 1970,24
3067,1,DMC Colour Chart,"""1. Black-310"" and ""2. Orange-900"".",Promin August-September 1966,31
3081,1,Ukrainian Arts & Crafts Exhibit,"Display in Edmonton hosted by St John's Cathedral
April 10-11, 1965.",Promin August-September 1965,21
3086,1,"«Христос Воскрес»
Christ has Risen",Easter Greetings,Promin April 1965,cover
3087,1,Donna Ewasiuk ,Modeling an embroidered dress featuring a pocket embroidered with Yavorivka stitch.,Promin June 1965,31
3089,1,Embroidery Pattern,"Embroidery pattern for a dress. 
Submitted by Olha Semchuk.",Promin March 1964,32
3093,1,Nativity Scene,Artist: Oleksa Bulavetsky.,Promin January 1964,cover
3104,1,UWAC Alberta Provincial Executive,1962,Promin April 1963,20
3111,1,Kid's Page,Graphic used to identify the page for children in Promin magazine.,Promin August 1963,22
3118,1,Embroidered Priests' Vestments,"Detailed view of embroidery on the back. 
Submitted by Sophia Senyshyn.",Promin January 1962,32
3128,1,Embroidery Pattern,"Nyzynka stitch submitted by Evdokia Pavliukevych, Winnipeg.",Promin October 1961,32
3129,1,Embroidery Pattern,"  Transcarpathian region,  featuring Nyzanka Stitch",Promin December 1961,36
3139,1,Embroidered Table Cloth,embroidery pattern featuring Merezhka stitch on edges.,Promin January 1961,32
3143,1,Embroidery Pattern,,Promin September 1977,32
3165,1,"""Summer"" by O. Kylchytska",Woodcut by O. Kylchytska.,Promin October 1984,cover
3172,1,Promin Cover ,Illustration. Artist Unknown,Promin January 1973,cover
3178,1,Embroidered Pillows,"Illustrated examples of embroidered bourdoir pillows. 
Artist unknown.",Promin December 1968,31
3181,1,Embroidered Serviette, ,Promin August-September 1969,19
3185,1,Bukovynian Embroidery Pattern,"Pattern from the village of Skyia, Bukovynia region.",Promin December 1976,31
3215,1,Embroidery Pattern,Central Ukraine ,Promin May 1984,32
3223,1,Embroidery Pattern,Illustration from the collection of Olena Pchilka.,Promin April 1973,31
3224,1,Kyiv Embroidery Pattern,Kyiv Region,Promin September 1982,14
3233,1,Embroidery Pattern,Polissian Region,Promin February 1985,32
3240,1,Embroidery Pattern,,Promin,
3241,1,Embroidery Pattern,,Promin,
3246,1,Embroidery Pattern,,Promin,
3250,1,Embroidery Pattern,,Promin,
3259,1,Floral Embroidery Pattern,,Promin,
3392,1,«ВИДАТНІ» (Distinguished/Luminaries),"Red plate of the dust jacket. «ВИДАТНІ» (Distinguished/Luminaries)  ""Vydatni"". 
Artist: Myron Levytsky ","Видатні Жінки Україні - Наталія Полонська-Василенко
Renowned Women of Ukraine by Natalia Polonska-Wasylenko 
1969",dust jacket
3398,1,Handmade Vase ,Created by Steve Repa,"Ukrainians in Canada (1st edition) by Ol'ha Woycenko
1967",160 i6
3453,1,Olha Kobylianska & Guests,"Left to right: I. Blazkevych, O. Kobylianska, O. Kyserevska, O. Husareva",Promin February 1964,9
3474,1,Graphic Motif,Vase of flowers motif used to fill empty space on a page.,Promin April 1961; Promin April 1962,4;4
3478,1,Angel Speaking to Shepards,Graphic drawing of an angel speaking to children. Used to fill empty space on a pages in issues of Promin published in 1961.,Promin 1961,3
3595,1,Blessing Easter baskets,Unidentified location,Publlication Unknown,
3598,1,Iconostas,St. Volodymyr Ukrainian Orthodox Cathedral in Toronto.,Publlication Unknown,
3607,1,Icon of Mary Holding Jesus,Western Ukrainian style. Artist Unknown,Publlication Unknown,
3609,1,Icon of St. George,Artist Unknown,Publlication Unknown,
3613,1,Priest,Unidentified,Publlication Unknown,
3623,1,Iconostas,Unidentified location,Publlication Unknown,
3624,1,Bishop Andrew, Bishop Andrew among a group of children.,Publlication Unknown,
3630,1,Bishop Andrew ,Bishop Andrew speaking to children,Promin November 1974,26
3641,1,"«Введення» 
Feast of the Entry of the Most Holy Theotokos into the Temple","Church of Transfiguration in the village of Sorochens'k. 
Older than the 17th century","Видатні Жінки Україні - Наталія Полонська-Василенко
Renowned Women of Ukraine by Natalia Polonska-Wasylenko 
1969",99
3650,1,Nativity Scene,Artist Unknown,Publlication Unknown,
3688,1,Group Photo,"Ukrainian school students posing with priests and teachers. St. Andrews College, Winnipeg, MB. ",Publlication Unknown,
3694,1,CYMK Group Photo,"Rev. Stus with young adults and parent advisors. 
Edmonton Branch CYMK. ",Publlication Unknown,
3726,1,Portrait of a Man,Unidentified,Publlication Unknown,
3736,1,Portrait of a Man,Unidentified,Publlication Unknown,
3748,1,Portrait of a Man,Unidentified,Publlication Unknown,
3754,1,Portrait of a Man,Unidentified,Publlication Unknown,
3762,1,Portrait of a Man,Unidentified,Publlication Unknown,
3763,1,Portrait of a Man,Unidentified,Publlication Unknown,
3768,1,Portrait of a Man,Unidentified,Publlication Unknown,
3784,1,Portrait of a Man,Unidentified,Publlication Unknown,
3794,1,Portrait of a Ruler,Unidentified,Publlication Unknown,
3814,1,Portrait of a Musician,Unidentified,Publlication Unknown,
3844,1,Олександер Анатоль  Сарчук Oleksandr Anatol Sarchuk,Graduation Portrait,Publlication Unknown,
3852,1,Portrait of a Man,Unidentified,Publlication Unknown,
3887,1,Nicholas Malychy,A of St. John's Cathedral in Edmonton. ,Publlication Unknown,
3894,1,Portrait of a Man,Unidentified,Publlication Unknown,
3896,1,Portrait of a Man,Unidentified,Publlication Unknown,
3902,1,Portrait of a Woman on a Boat,Unidentified,Publlication Unknown,
3921,1,"Борис Грінченко 
Borys Hrinchenko
 (1863-1910)  ","Ukrainian prose writer, activist, historian, author, ethnographer and one of the organizers of the ""Prosvita"" society.",Publlication Unknown,
3935,1,Portrait of a Woman,Unidentified,Publlication Unknown,
3941,1,Portrait of a Woman,Unidentified,Publlication Unknown,
3955,1,The Queen Mother,Queen Elizabeth II's mother,"History book of the Ukrainian National Home in WInnipeg, edited by D. Doroshenko.
1949",5
3972,1,Portrait of a Woman,Unidentified,Publlication Unknown,
3982,1,Portrait of a Woman,Unidentified,Publlication Unknown,
4057,1,Ms. Duma,,Publlication Unknown,
4071,1,Mrs. P. Stefaniuk ,,Promin October 1973,13
4074,1,Portrait of a Woman,Unidentified,Publlication Unknown,
4086,1,Portrait of a Woman,Unidentified,Publlication Unknown,
4089,1,Portrait of a Woman,Unidentified,Publlication Unknown,
4133,1,Portrait of a Woman,Unidentified,Publlication Unknown,
4138,1,Portrait of a Woman,Unidentified,Publlication Unknown,
4155,1,Portrait of a Woman,Unidentified,Publlication Unknown,
4156,1,Portrait of a Woman,Unidentified,Publlication Unknown,
4161,1,Portrait of a Woman,Unidentified,Publlication Unknown,
4192,1,Portrait of a Woman,Unidentified,Publlication Unknown,
4199,1,Portrait of a Woman,Unidentified,Publlication Unknown,
4203,1,Portrait of a Woman,Unidentified,Publlication Unknown,
4207,1,Portrait of a Woman,Unidentified,Publlication Unknown,
4214,1,Portrait of a Woman,Unidentified,Publlication Unknown,
4220,1,Portrait of a Woman,Unidentified,Publlication Unknown,
4228,1,"Пелахія Ометюх
Pelahia Ometiukh",,Publlication Unknown,
4233,1,Portrait of a Woman,Unidentified,Publlication Unknown,
4274,1,Woman in a Garden,Unidentified,Publlication Unknown,
4316,1,Anniversary Couple,Unidentified,Publlication Unknown,
4346,1,Anniversary Couple,Unidentified,Publlication Unknown,
4362,1,Pioneer Couple,Unidentified,Publlication Unknown,
4372,1,"«Лебеді материнства»
Swans of Motherhood","Popular Ukrainian song also referred to as «Вирозтеш ти cину» (You Will Grow Up, Son)
Cлова Василя Симоненка, музика Анатолія Пашкевича 
Lyrics by Vasyl Symonenko, Music by Anatoli Pashkevych",Publlication Unknown,
4373,1,"«Марічка» 
Marichka",Ukrainian Folksong,Publlication Unknown,
4375,1,"«Ой дівчино, шумить гай»
Oh Girl, The Grove is Rustling ",Ukrainian Folksong,Publlication Unknown,
4385,1,"«Ой горе тій чайці» 
Oh Woe to that Seagull",Ukrainian Folksong - sung by Chumaky,Publlication Unknown,
4388,1,"«Заспіваймо cобі» 
Let's Sing Out",Ukrainian Folksong,Publlication Unknown,
4445,1,Unveiling of a Monument,Unidentified location,Publlication Unknown,
4531,1,Bandurist,Artist unknown,Publlication Unknown,
4551,1,Medieval Soldier,Artist unknown,Publlication Unknown,
4562,1,Two Paskas,Examples of finshed Ukrainian Easter bread.,"Traditional Ukrainian Cookery by Savella Stechishin
1957","336, 337"
4629,1,Choir Recording,Photograph in a recording studio. Unidentified choir. ,Publlication Unknown,
4672,1,Apple ,Graphic drawing associated with - Legion #141,Publlication Unknown,
4677,1,University of Manitoba Crest,,Publlication Unknown,
4702,1,Boy & Camera Cartoon,Graphic drawing used to identiy children's page in various issues of Promin magazine.,,
4706,1,Boy With Boots,Graphic drawing used to identiy children's page in various issues of Promin magazine.,,
4710,1,Beaver,,Publlication Unknown,
4715,1,Embroidery Pattern,Rose Motif,,
4739,1,Barn Landscape,Graphic drawing used to fill empty space on a page. Artist Unknown,"Калиндар Українського голосу 1949
Ukrainian Voice Almanac 1949",24
4744,1,Emblem for «Рідна Школа» (Canadian Ukrainian School),,,
4753,1,1000 Years of Christianity,Graphic drawing of the logo for the celebration of 1000 years of Christianity in Ukrainian 988-1988,The Herald (all issues printed in 1988),
4760,1,Female Bandurist,Artist unknown. ,Publlication Unknown,
4762,1,"""Бритиш Коломбія""
British Columbia Legislature",Graphic used on page with articles submitted from British Columbia. ,Publlication Unknown,
4766,1,Bishop Andrew's Signature,,Publlication Unknown,
4783,1,«Ц.С.V.А»  ,Maple leaf with a tryzub inside,Publlication Unknown,
4794,1,"UWAC 
""Смолоскип""","""Smolskyp"" (Torch)
The official Logo of the 
Ukrainian Women's Association of Canada. ",,
4795,1,Canadian Tryzub ,"Ukrainian Trident within a maple leaf, all within a radiating sun. ",,
4804,1,Presentation,"Mrs. Lazarowych and Mrs. Klynkovych admiring two embroidered pillow covers. Vancouver, BC.",Publlication Unknown,
4848,1,"«Покрова» 
Feast of the Intercession of Theotokos ",Artist Unknown,Publlication Unknown,
4850,1,Taras Shevchenko,Artist:  Ilya Efimovich Repin - 1888,"Image published yearly in March, in Promin, The Herald, The Ukrainian Voice",
4924,1,Pioneer Wedding,Unidentified location,Publlication Unknown,
4935,1,Plowing the Field,Unidentified location,"Калиндар Українського голосу 1939
Ukrainian Voice Almanac 1939",153 top
4975,1,Church Procession,"CYMKivtsi from Alberta
Vegreville,AB",Publlication Unknown,
4980,1,Prairie Meeting,Settler meeting with the Indigenous Community,Publlication Unknown,
5018,1,Embroidery Pattern,,Publlication Unknown,
5019,1,Knight ,Artist Unknown,Publlication Unknown,
5021,1,CYMK Queen  , Anna Rudyk c. 1957,"25th anniversary of St. Mary's Ukrainian Greek Orthodox Church North Surrey, B.C.",19
5023,1,CYMK Queen  ,Marusia Benar c. 1962,"25th anniversary of St. Mary's Ukrainian Greek Orthodox Church North Surrey, B.C.",12 
5024,1,CYMK Queen,Unidentified,Publlication Unknown,
5025,1,CYMK Queen with 2 Princesses,Unidentified,Publlication Unknown,
5041,1,Hutzul Woman,Unidentified,Publlication Unknown,
5059,1,Lesia Slipchuk & Anna Zwozdesky,"Preparing materials for the 
Ukrainian Bilingual Program in Edmonton.
c. 1976",Publlication Unknown,
5061,1, Easter Breads,"""Я і мій син Івась з паскою і писанками  ? Гейд-люта""
""Me and my son Ivas' with pysanky and a paska, Mrs. Gaid-Luta (sp)",Publlication Unknown,
5062,1,Zaharia Easter Egg Display,Unidentified,Publlication Unknown,
5064,1,Group Photo  ,Unidentified,Publlication Unknown,
5070,1,Group Photo,Unidentified,Publlication Unknown,
5081,1, Traditional Ukrainian Regional Clothing,"Women modeling Traditional Ukrainian regional Clothing 
L - Hutzulshchyna; M - Bukovyna; R - Poltava",Publlication Unknown,
5105,1,Four Mushrooms,,Publlication Unknown,
5109,1,Magpie Amidst the Long Grass,Artist Unknown,Publlication Unknown,
5126,1,Ship at Sea,Unidentified,Publlication Unknown,
5347,1,Two Panel Berlin Wall Cartoon, Artist Unknown,Publlication Unknown,
5387,1,Commemorative Ribbon,60th anniversary of the Ukrainian Orthodox Church of the Nativity of St. Mary., ,
5406,1,Fashion Illustration (to Accompany Pattern),Illustration to accompany an embroidery pattern. Artist unknown.,Publlication Unknown,
5414,1,Group Photo,Unidentified,Publlication Unknown,
5438,1,Large Group Photo,Unidentified,Publlication Unknown,
5452,1,Group Photo,Unidentified,Publlication Unknown,
5479,1,Group Photo,Unidentified,Publlication Unknown,
5480,1,Group Photo of Men,Unidentified,Publlication Unknown,
5577,1,Government of Canada Media,,Appears in various publications printed by Trident Press,
5620,1,Canadian Legion Crest,,Appears in various publications printed by Trident Press,
5621,1,Canadian Legion Crest,,Appears in various publications printed by Trident Press,
5670,1,Ukrainian Border Guard,Artist Unknown,Publlication Unknown,
5678,1,"«БАТЬКИ І ДІТИ» 
Parents & Children ",Title block for the book Illustrated by А. Горохобич (A. Horohovych),"«БАТЬКИ І ДІТИ»  
Parents & Children
Winnipeg, MB - 1990",
2021.1 5746,1,Skyline of a Large City,Unidentified,Publlication Unknown,
5756,1,Mrs. Emma Verchomin,"Edmonton, AB",Publlication Unknown,
5768,1,Woman Holding a Baby,Unidentified,Publlication Unknown,
5770,1,Portrait of a Woman,Unidentified,Publlication Unknown,
5771,1,Embroidery Pattern, Corner detail for a Hutzul Vest,Publlication Unknown,
5772,1,"""Home""","Photograph of a rooming house. 
Location Unknown.",Publlication Unknown,
3,2,Embroidered Pillow,,"Мистецькі скарби українських вишивок - С. Сечишин (1950)
Art Treasures of Ukrainian Embroidery by S. Stechishin 
Ukrainian Embroidery Designs and Stitches  (1957)",117;94
17,2,Stitch Tutorial,Illustrated by Wadym Dobrolige,"Мистецькі скарби українських вишивок - С. Сечишин (1950)
Art Treasures of Ukrainian Embroidery by S. Stechishin 
Ukrainian Embroidery Designs and Stitches  (1957)",61;69
23,2,Stitch Tutorial,Illustrated by Wadym Dobrolige,"Мистецькі скарби українських вишивок - С. Сечишин (1950)
Art Treasures of Ukrainian Embroidery by S. Stechishin 
Ukrainian Embroidery Designs and Stitches  (1957)",60;68
24,2,Stitch Tutorial,Illustrated by Wadym Dobrolige,"Мистецькі скарби українських вишивок - С. Сечишин (1950)
Art Treasures of Ukrainian Embroidery by S. Stechishin 
Ukrainian Embroidery Designs and Stitches  (1957)",60;67
29,2,"""Хоругва""
Church Banner",Example of an embroidered Ukrainian church processional banner  (khoruhva).,Ukrainian Embroidery Designs and Stitches  (1957),103
41,2,Embroidered Pillow, ,"Мистецькі скарби українських вишивок - С. Сечишин (1950)
Art Treasures of Ukrainian Embroidery by S. Stechishin 
Ukrainian Embroidery Designs and Stitches  (1957)",120;93
53,2,Embroidery Pattern,,Ukrainian Embroidery Designs and Stitches  (1957),62
83,2,Embroidery Sample,,Ukrainian Embroidery Designs and Stitches  (1957),49
110,2,Unknown Young Woman,Young woman Modelling an embroidered dress & handbag,Ukrainian Embroidery Designs and Stitches  (1957),124
121,2,"""Verkhovyna"" ","Ukrainian folk dance in a classical manner
Performed by  Roma Pryma Bohachevsky        ","Українська жінка в хореографії - Пастернакова, Марія.  
Ukrainian Woman in Choreography by Maria Pasternakova""
1963",37
180,2,"Проф. Юліян Романчук
Professor Julian Romanchuk", Illustrated by Mykhailo Fartukh.        ,"Історія України для дітей 
History of Ukraine for children of School Age
(1966)",203
182,2,"Юрій Федькович
Osep Yuriy Fedkovych",Hand-drawn portrait - Illustrated by Mykhailo Fartukh.        ,"Історія України для дітей 
History of Ukraine for children of School Age
(1966)",202
215,2,"""Руська Трійця""
The Ruthenian Triad","Above: Markiyan Shashkevych; right: Ivan Vahylevych; left: Yakiv Holovatsky
Illustrated by Mykhailo Fartukh.      ","Історія України для дітей 
History of Ukraine for children of School Age
(1966)",193
228,2,"""The Beginning of the Galician Kingdom""",Illustrated by Mykhailo Fartukh.    ,"Історія України для дітей 
History of Ukraine for children of School Age
(1966)",51
